as_of_date,pd_score,sector_mix,grade_mix,ead,lgd
2024-01-31 23:59:59.999999999,0.0,0.0,0.0,0.0,0.0
2024-02-29 23:59:59.999999999,0.00101627038148773,0.0007099501910878665,0.00044029630412819725,0.004075540677588263,0.0017024828910106632
2024-03-31 23:59:59.999999999,0.0020780045135742713,0.002963819870504031,0.001139380855963983,0.0017735146762150858,0.0028096982894298583
2024-04-30 23:59:59.999999999,0.004028362298672288,0.001524588693890091,0.0019929143966092343,0.003802728549892706,0.0014516476671330705
2024-05-31 23:59:59.999999999,0.004308736105148111,0.0006422627288845716,0.001162020660515091,0.0024803002798565637,0.001416781396399861
2024-06-30 23:59:59.999999999,0.0026277141406650466,0.0014882364195980284,0.0014472388787824869,0.0019155460318151117,0.00046243519240558097
2024-07-31 23:59:59.999999999,0.0023601823733147204,0.0010863613104982726,0.0010082555728917818,0.0021640764164333045,0.0008505574788152617
2024-08-31 23:59:59.999999999,0.0019522260658042206,0.0017969158447375857,0.0009127397513138332,0.0023887763907533425,0.0013261672083501304
2024-09-30 23:59:59.999999999,0.0022543263091552917,0.001323609459885616,0.001317353966581031,0.0020893705568188255,0.0008442057006741203
2024-10-31 23:59:59.999999999,0.002780356950146331,0.0012803715851467028,0.0009681607361371899,0.0020756917503828897,0.0006673919217429121
2024-11-30 23:59:59.999999999,0.0027998948301837297,0.0010336912294162072,0.0012206204265241029,0.0011420037936208632,0.0019385687020919008
2024-12-31 23:59:59.999999999,0.0012296428347461526,0.0028985436483290367,0.0013272605408997777,0.00237015145196932,0.0011115758081277276
2025-01-31 23:59:59.999999999,0.0020257647565893873,0.0011129568667075877,0.0015129626144871225,0.001947373624877258,0.000720253763000289
2025-02-28 23:59:59.999999999,0.003278758620854296,0.0021198027542034593,0.0023152701368473897,0.0008690489209398131,0.00027556720608160924
2025-03-31 23:59:59.999999999,0.004371336440711572,0.0015070487781200887,0.0008551096801036704,0.0011273025926127143,0.0009288078605840689
2025-04-30 23:59:59.999999999,0.0014543283028336275,0.0012392462027201675,0.0006840475447151639,0.0026185204864829373,0.0010741327666316835
2025-05-31 23:59:59.999999999,0.0029781507018211938,0.0009522123977176758,0.00041245935430607884,0.003922428622794608,0.000945280385793769
2025-06-30 23:59:59.999999999,0.004426401135619884,0.0016397126813537078,0.0012864161016532434,0.002353982474506553,0.0018034145487534465
